payer_name,bucket,specification
DIRECT GENERAL AUTO [750013],Commercial,Other Commercial
DISCOVERY AUTO [750008],Commercial,Discovery
DRUG ASSISTANCE PROGRAMS [110001],Commercial,Other Commercial
Devoted,Commercial,Devoted
Dimension Health,Commercial,Dimension Health
Dimension Health/International Plus,Commercial,Dimension Health
Doctor's Healthcare,Unknown,Unknown
EAP [107001],Unknown,Unknown
EBMS [100347],Unknown,Unknown
EMBLEM HEALTH [100313],Commercial,Emblem
EMPIRE NYSHIP [100291],Commercial,Empire Nyship
EMPLOYERS HEALTH NETWORK FL,Commercial,Other Commercial
ENCOMPASS HEALTH REHABILITATION,Commercial,Other Commercial
ESIS [700079],Unknown,Unknown
ESTHI STUDY [500024],Unknown,Unknown
ESURANCE AUTO [750009],Commercial,Esurance
EVERNORTH BEHAVIORAL HEALTH,Commercial,Evernorth
EVOLUTIONS HEALTHCARE,Commercial,Evolutions
EVOLUTIONS HEALTHCARE SYSTEMS [100266],Commercial,Evolutions
Emerging,Commercial,Emerging
Emerging Therapy Solutions,Commercial,Emerging
Employers Health Network,Commercial,Other Commercial
Evolutions,Commercial,Evolutions
Evolutions Healthcare System,Commercial,Evolutions
FACILITY BILLING - OP,Commercial,Other Commercial
FARM BUREAU HEALTH PLANS [100332],Commercial,Other Commercial
FEDERAL LIFE [100362],Commercial,Other Commercial
FIDELIS CARE [450142],Commercial,Fidelis
FIRST HEALTH AUTO [750012],Commercial,First
FIRST HEALTH NETWORK,Commercial,First
FIRST HEALTH [100261],Commercial,First
FL,Commercial,Florida
FLORIDA BLUE,Commercial,Florida
FLORIDA COMMUNITY CARE [450124],Commercial,Florida
FLORIDA COMPLETE CARE MEDICARE [450139],Government,Medicare
FLORIDA HEALTH PLAN [100268],Commercial,Florida
FREEDOM FIRST HEALTHCARE [250305],Commercial,Freedom
FREEDOM HEALTH [250505],Commercial,Freedom
FREEDOM LIFE INSURANCE [100320],Commercial,Freedom
FRINGE BENEFIT GROUP [100296],Commercial,Fringe
FSCJ STUDENT [500013],Commercial,Other Commercial
First,Commercial,First
First Health,Commercial,First
Florida,Commercial,Florida
Florida Community Care,Commercial,Florida
Florida Community Care Oncology,Commercial,Florida
Florida Health Care Plan,Commercial,Florida
Florida Pace Center,Commercial,Florida
Fortified Provider Network,Commercial,Other Commercial
Freedom,Commercial,Freedom
